"Created on","publicId","Title","Price","Surcharge","Promo Price","Tax Rate","UPC","SKU","Distributor","Item number","Importer","In Stock","Bill & Hold","Unit Cost","Case Cost","Units Per Case","Pack Size","Reorder Threshold","Images","Category","Tags","Shipping Weight (lb)","Shipping Width (in)","Shipping Length (in)","Shipping Height (in)","Pack 1 Name","Pack 1 UPC","Pack 1 SKU","Pack 1 Size","Pack 1 Unit Cost","Pack 1 Price","Pack 1 Promo Price","Pack 1 Sold Online","Pack 1 Ecom Primary","Pack 2 Name","Pack 2 UPC","Pack 2 SKU","Pack 2 Size","Pack 2 Unit Cost","Pack 2 Price","Pack 2 Promo Price","Pack 2 Sold Online","Pack 2 Ecom Primary","Pack 3 Name","Pack 3 UPC","Pack 3 SKU","Pack 3 Size","Pack 3 Unit Cost","Pack 3 Price","Pack 3 Promo Price","Pack 3 Sold Online","Pack 3 Ecom Primary","Pack 4 Name","Pack 4 UPC","Pack 4 SKU","Pack 4 Size","Pack 4 Unit Cost","Pack 4 Price","Pack 4 Promo Price","Pack 4 Sold Online","Pack 4 Ecom Primary","Pack 5 Name","Pack 5 UPC","Pack 5 SKU","Pack 5 Size","Pack 5 Unit Cost","Pack 5 Price","Pack 5 Promo Price","Pack 5 Sold Online","Pack 5 Ecom Primary","Pack 6 Name","Pack 6 UPC","Pack 6 SKU","Pack 6 Size","Pack 6 Unit Cost","Pack 6 Price","Pack 6 Promo Price","Pack 6 Sold Online","Pack 6 Ecom Primary"
"Feb 27 2026","dsrq4mm5e4fiz","Michel Autran Ciel Rouge","$64.99","","","8.875%","","","MFW (ELENTENY)","FWFMAVCR20","","6","0","36.00","0.00","0","","","","Wine","Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","2urq4mm5e3hjq","Michel Autran Les Enfers Tranquilles","$64.99","","","8.875%","","","MFW (ELENTENY)","FWFMAVLET20","","12","0","36.00","432.00","12","","","","Wine","Color: White / Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","l57b4mm5dpe1t","Michel Autran Cap a l'Ouest","$54.99","","","8.875%","","","MFW (ELENTENY)","FWFAVCO21","","12","0","33.33","400.00","12","","","","Wine","Size: 750 ML / Color: White","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","l7q04mm5djopd","Ugo Lestelle Cuvee L 750 ml","$42.99","","","8.875%","","","JEFFREY ALPERT / CANOPY","27040","","6","0","25.17","0.00","0","","","","Wine","Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","db464mm5diz6h","Maison Advinam L'Allumee Rouge 750 ml","$39.99","","","8.875%","","","JEFFREY ALPERT / CANOPY","26942","","24","0","23.75","285.00","12","","","","Wine","Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","1b034mm5dh8wv","Domaine de la Combe au Mas Kikiriki","$32.99","","","8.875%","","","JEFFREY ALPERT / CANOPY","27326","","12","0","19.00","228.00","12","","","","Wine","Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","113u4mm5ddtg2","Harkamp Substance Riesling","$69.99","","","8.875%","","","Satyr","GW1148","","5","0","42.00","252.00","6","","","","","","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","2urq4mm5dd651","Giro Di Vite Scarpente","$34.99","","","8.875%","","","Satyr","GW1140","","12","0","20.00","240.00","12","","","","Wine","Color: Red / Size: 750 ML / Country: Italy","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","l7q04mm5dbtx2","Harkamp Sauvignon Blanc","$24.99","","","8.875%","","","Satyr","GW1112","","24","0","13.00","78.00","6","","","","Wine","Color: White / Style: Natural / Country: Austria / Region: Steiermark","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","3z554mm5d3pqk","Pierre Olivier Bonhomme - Sauvignon Blanc Touraine","$29.99","","","8.875%","","","Louis Dressner (elenteny)","LD5720624","","24","0","17.00","204.00","12","","","","Wine","Color: White / Style: Natural / Vintage: 2024 / Varietal: Sauvignon Blanc / Country: France / Region: Loire Valley / Subregion: Touraine / Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","9tku4mm5d1sj1"," Mosse Vermouth","$49.99","","","8.875%","","","Louis Dressner (elenteny)","LD91147NV","","12","0","30.50","366.00","12","","","","Spirits","Size: 750 ML / Type: Vermouth","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","bzgd4mm5cxhmv","Cochonnet Gamay 1L","$24.99","","","8.875%","","","MFW (ELENTENY)","FWFCRPG23T","","59","0","13.33","160.00","12","","","","Wine","Color: Red / Vintage: 2023 / Size: 1 L / Type: Still Wine Imported / Country: France","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Feb 27 2026","1eyv4mm5bdyq6","Yann Bertrand - P'Tit Bouchon Beaujolais Primeur","$35.99","","","8.875%","","","COEUR (ELENTENY)","CWFYBPB25","","24","0","20.00","240.00","12","","","","Wine","Color: Red / Style: Natural / Vintage: 2025 / Type: Still Wine Imported / Size: 750 ML","3.33","3","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
